Threat Group,Technique Used,Mitigation,Mitigation Description
APT29,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Remote Email Collection,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT29,Remote Email Collection,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Remote System Discovery,Remote System Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information on remotely available systems, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Process Discovery,Process Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about processes, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Web Services,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Steal Web Session Cookie,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Steal Web Session Cookie,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT29,Steal Web Session Cookie,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Vulnerability Scanning,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Obfuscated Files or Information,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT29,Obfuscated Files or Information,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT29,Trusted Relationship,Trusted Relationship Mitigation,Network segmentation can be used to isolate infrastructure components that do not require broad network access. Properly manage accounts and permissions used by parties in trusted relationships to minimize potential abuse by the party and if the party is compromised by an adversary. Vet the security policies and procedures of organizations that are contracted for work that require privileged access to network resources.
APT29,Trusted Relationship,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Trusted Relationship,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Trusted Relationship,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Encrypted Channel,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.
APT29,Encrypted Channel,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Windows Command Shell,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Domain Trust Discovery,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Domain Trust Discovery,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Domain Trust Discovery,Domain Trust Discovery Mitigation,Map the trusts within existing domains/forests and keep trust relationships to a minimum. Employ network segmentation for sensitive domains.(Citation: Harmj0y Domain Trusts)
APT29,Python,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT29,Python,Limit Software Installation,Block users or groups from installing unapproved software.
APT29,Python,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Python,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Software Packing,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT29,Internal Proxy,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,PowerShell,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,PowerShell,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.
APT29,PowerShell,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,PowerShell,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,PowerShell,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT29,Clear Mailbox Data,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.
APT29,Clear Mailbox Data,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Web Protocols,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Cloud Account,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Cloud Account,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Cloud Account,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Remote Desktop Protocol,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Remote Desktop Protocol,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
APT29,Remote Desktop Protocol,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Remote Desktop Protocol,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Remote Desktop Protocol,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,Remote Desktop Protocol,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Remote Desktop Protocol,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,Remote Desktop Protocol,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT29,Additional Cloud Roles,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Additional Cloud Roles,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Additional Cloud Roles,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Digital Certificates,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT29,Use Alternate Authentication Material,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Use Alternate Authentication Material,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Private Keys,Password Policies,Set and enforce secure password policies for accounts.
APT29,Private Keys,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT29,Private Keys,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Private Keys,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT29,Private Keys,Private Keys Mitigation,"Use strong passphrases for private keys to make cracking difficult. When possible, store keys on separate cryptographic hardware instead of on the local system. Ensure only authorized keys are allowed access to critical resources and audit access lists regularly. Ensure permissions are properly set on folders containing sensitive private keys to prevent unintended access. Use separate infrastructure for managing critical systems to prevent overlap of credentials and permissions on systems that could be used as vectors for lateral movement. Follow other best practices for mitigating access through use of [Valid Accounts](https://attack.mitre.org/techniques/T1078)."
APT29,Domain Account,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT29,Hybrid Identity,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,Hybrid Identity,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Hybrid Identity,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Web Session Cookie,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT29,Ingress Tool Transfer,Remote File Copy Mitigation,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools. (Citation: University of Birmingham C2)"
APT29,Ingress Tool Transfer,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT29,Domain Fronting,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.
APT29,Windows Management Instrumentation,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Windows Management Instrumentation,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Windows Management Instrumentation,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT29,Windows Management Instrumentation,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT29,Spearphishing Link,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT29,Spearphishing Link,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT29,Spearphishing Link,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Spearphishing Link,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Spearphishing Link,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT29,External Remote Services,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
APT29,External Remote Services,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT29,External Remote Services,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT29,External Remote Services,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT29,External Remote Services,External Remote Services Mitigation,"Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems. Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Disable or block remotely available services such as [Windows Remote Management](https://attack.mitre.org/techniques/T1028). Use strong two-factor or multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials, but be aware of [Multi-Factor Authentication Interception](https://attack.mitre.org/techniques/T1111) techniques for some two-factor authentication implementations."
APT29,Scheduled Task,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Scheduled Task,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT29,Scheduled Task,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT29,Scheduled Task,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT29,Data from Local System,Data from Local System Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to collect data from the local system, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT29,Data from Local System,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)"
APT29,Application Access Token,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT29,Application Access Token,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT29,Application Access Token,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
LAPSUS$,Email Forwarding Rule,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
LAPSUS$,Email Forwarding Rule,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Email Forwarding Rule,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
LAPSUS$,Exploitation for Privilege Escalation,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.
LAPSUS$,Exploitation for Privilege Escalation,Exploitation for Privilege Escalation Mitigation,"Update software regularly by employing patch management for internal enterprise endpoints and servers. Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization. Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing, if available. Other types of virtualization and application microsegmentation may also mitigate the impact of some types of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility and may not work for software components targeted for privilege escalation."
LAPSUS$,Exploitation for Privilege Escalation,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.
LAPSUS$,Exploitation for Privilege Escalation,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
LAPSUS$,Exploitation for Privilege Escalation,Update Software,Perform regular software updates to mitigate exploitation risk.
LAPSUS$,Exploitation for Privilege Escalation,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
LAPSUS$,Code Repositories,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Code Repositories,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.
LAPSUS$,Domain Account,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
LAPSUS$,Multi-Factor Authentication Interception,Two-Factor Authentication Interception Mitigation,"Remove smart cards when not in use. Protect devices and services used to transmit and receive out-of-band codes.

Identify and block potentially malicious software that may be used to intercept 2FA credentials on a system by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
LAPSUS$,Multi-Factor Authentication Interception,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Confluence,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Confluence,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Confluence,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Identify Roles,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,Gather Victim Identity Information,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,Credentials from Web Browsers,Password Policies,Set and enforce secure password policies for accounts.
LAPSUS$,Tool,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,Data from Information Repositories,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Data from Information Repositories,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Data from Information Repositories,Data from Information Repositories Mitigation,"To mitigate adversary access to information repositories for collection:

* Develop and publish policies that define acceptable information to be stored
* Appropriate implementation of access control mechanisms that include both authentication and appropriate authorization
* Enforce the principle of least-privilege
* Periodic privilege review of accounts
* Mitigate access to [Valid Accounts](https://attack.mitre.org/techniques/T1078) that may be used to access repositories"
LAPSUS$,Data from Information Repositories,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Cloud Accounts,Password Policies,Set and enforce secure password policies for accounts.
LAPSUS$,Cloud Accounts,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Cloud Accounts,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
LAPSUS$,Cloud Accounts,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
LAPSUS$,Cloud Accounts,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,External Remote Services,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
LAPSUS$,External Remote Services,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
LAPSUS$,External Remote Services,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
LAPSUS$,External Remote Services,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
LAPSUS$,External Remote Services,External Remote Services Mitigation,"Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems. Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Disable or block remotely available services such as [Windows Remote Management](https://attack.mitre.org/techniques/T1028). Use strong two-factor or multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials, but be aware of [Multi-Factor Authentication Interception](https://attack.mitre.org/techniques/T1111) techniques for some two-factor authentication implementations."
LAPSUS$,Code Repositories,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Code Repositories,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Code Repositories,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Code Repositories,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
LAPSUS$,Trusted Relationship,Trusted Relationship Mitigation,Network segmentation can be used to isolate infrastructure components that do not require broad network access. Properly manage accounts and permissions used by parties in trusted relationships to minimize potential abuse by the party and if the party is compromised by an adversary. Vet the security policies and procedures of organizations that are contracted for work that require privileged access to network resources.
LAPSUS$,Trusted Relationship,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
LAPSUS$,Trusted Relationship,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
LAPSUS$,Trusted Relationship,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Business Relationships,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,Additional Cloud Roles,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
LAPSUS$,Additional Cloud Roles,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
LAPSUS$,Additional Cloud Roles,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Credentials,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,Sharepoint,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Sharepoint,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Sharepoint,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Purchase Technical Data,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,Data from Local System,Data from Local System Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to collect data from the local system, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
LAPSUS$,Data from Local System,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)"
LAPSUS$,Valid Accounts,Password Policies,Set and enforce secure password policies for accounts.
LAPSUS$,Valid Accounts,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Valid Accounts,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
LAPSUS$,Valid Accounts,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Valid Accounts,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.
LAPSUS$,Valid Accounts,Valid Accounts Mitigation,"Take measures to detect or prevent techniques such as [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) or installation of keyloggers to acquire credentials through [Input Capture](https://attack.mitre.org/techniques/T1056). Limit credential overlap across systems to prevent access if account credentials are obtained. Ensure that local administrator accounts have complex, unique passwords across all systems on the network. Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled and use of accounts is segmented, as this is often equivalent to having a local administrator account with the same password on all systems. 

Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers. (Citation: Microsoft Securing Privileged Access) 

Audit domain and local accounts as well as their permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account. (Citation: TechNet Credential Theft) (Citation: TechNet Least Privilege) These audits should also include if default accounts have been enabled, or if new local accounts are created that have not be authorized. 

Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. (Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet) When possible, applications that use SSH keys should be updated periodically and properly secured. "
LAPSUS$,Delete Cloud Instance,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Delete Cloud Instance,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Create Cloud Instance,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
LAPSUS$,Create Cloud Instance,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
LAPSUS$,Proxy,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
LAPSUS$,Proxy,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.
LAPSUS$,Proxy,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.
LAPSUS$,Email Addresses,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,NTDS,Password Policies,Set and enforce secure password policies for accounts.
LAPSUS$,NTDS,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
LAPSUS$,NTDS,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
LAPSUS$,NTDS,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,User Execution,User Execution Mitigation,"Use user training as a way to bring awareness to common phishing and spearphishing techniques and how to raise suspicion for potentially malicious events. Application whitelisting may be able to prevent the running of executables masquerading as other files.

If a link is being visited by a user, block unknown or unused files in transit by default that should not be downloaded or by policy from suspicious sites as a best practice to prevent some vectors, such as .scr, .exe, .lnk, .pif, .cpl, etc. Some download scanning devices can open and analyze compressed and encrypted formats, such as zip and RAR that may be used to conceal malicious files in [Obfuscated Files or Information](https://attack.mitre.org/techniques/T1027).

If a link is being visited by a user, network intrusion prevention systems and systems designed to scan and remove malicious downloads can be used to block activity. Solutions can be signature and behavior based, but adversaries may construct files in a way to avoid these systems."
LAPSUS$,User Execution,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
LAPSUS$,User Execution,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
LAPSUS$,User Execution,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
LAPSUS$,User Execution,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,User Execution,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
LAPSUS$,Multi-Factor Authentication Request Generation,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
LAPSUS$,Multi-Factor Authentication Request Generation,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
LAPSUS$,Multi-Factor Authentication Request Generation,Account Use Policies,"Configure features related to account use like login attempt lockouts, specific login times, etc."
